Informe as versões (deixe em branco para buscar todas):
 - Versão do Bottlerocket (ex: 1.58.0). Deixe em branco para todas.
 - Versão do Kubernetes (ex: 1.35). Deixe em branco para todas.
 - Regiões (separadas por vírgula). Deixe em branco para todas as regiões.
Versão do Bottlerocket: 1.58.0
Versão do Kubernetes: 
Regiões (comma-separated): 
Buscando AMIs com o padrao: bottlerocket-aws-k8s-*-*-v1.58.0-*
==================================================
Consultando regiao: ap-south-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-north-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ca-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: sa-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-2...
  -> 48 AMI(s) encontrada(s)

Resultado final:
K8S_Version  Region          AMI_ID                 Arch    Name                                                            CreationDate
1.30         eu-west-1       ami-0c774b4e1da51c5eb  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:09.000Z
1.30         eu-west-1       ami-0d96c0bfc6eaf9e6a  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:14.000Z
1.30         eu-west-1       ami-0eafdb0e6ddc52416  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:50.000Z
1.30         eu-west-1       ami-0f759588984032ef3  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:47.000Z
1.30         ap-northeast-3  ami-014a3e56980649650  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:07.000Z
1.30         ap-northeast-3  ami-046d9f586b6c61c42  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:48.000Z
1.30         ap-northeast-3  ami-051694e0c2adbebc4  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:49.000Z
1.30         ap-northeast-3  ami-05c573b58bfa77e43  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:22.000Z
1.30         ap-northeast-3  ami-080c6f8bfe0a94df4  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:32.000Z
1.30         ap-northeast-3  ami-0b92b94fd06945c6b  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:38.000Z
1.30         ap-northeast-3  ami-0e870b0ba54337285  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:44.000Z
